Tokyo	 New York	 22-03-2026
Montreal	 Dallas	 15-01-2026
London	 New York	 20-12-2025
Seoul	 San Francisco	 14-02-2026
Paris	 Chicago	 01-03-2026
Berlin	 Los Angeles	 05-03-2026
Sydney	 Dubai	 12-04-2026
Rome	 Miami	 20-04-2026
Beijing	 Toronto	 25-04-2026
Madrid	 Houston	 30-04-2026
Tokyo	 London	 03-05-2026
Montreal	 Paris	 06-05-2026
London	 Tokyo	 10-05-2026
Seoul	 Berlin	 15-05-2026
Paris	 Sydney	 18-05-2026
Berlin	 New York	 22-05-2026
Sydney	 Chicago	 25-05-2026
Rome	 Los Angeles	 28-05-2026
Beijing	 Miami	 01-06-2026
Madrid	 Toronto	 04-06-2026
Tokyo	 Dubai	 07-06-2026
Montreal	 Houston	 10-06-2026
London	 Paris	 13-06-2026
Seoul	 London	 16-06-2026
Tokyo	 New York	 02-02-2027
Montreal	 Dallas	 05-02-2027
London	 New York	 08-02-2027
Seoul	 San Francisco	 11-02-2027
Paris	 Chicago	 14-02-2027
Berlin	 Los Angeles	 17-02-2027
Sydney	 Dubai	 20-02-2027
Rome	 Miami	 23-02-2027
Beijing	 Toronto	 26-02-2027
Madrid	 Houston	 01-03-2027
Tokyo	 London	 04-03-2027
Montreal	 Paris	 07-03-2027
London	 Tokyo	 10-03-2027
Seoul	 Berlin	 13-03-2027
Paris	 Sydney	 16-03-2027
Berlin	 New York	 19-03-2027
Sydney	 Chicago	 22-03-2027
Rome	 Los Angeles	 25-03-2027
Beijing	 Miami	 28-03-2027
Madrid	 Toronto	 31-03-2027
Tokyo	 Dubai	 03-04-2027
Montreal	 Houston	 06-04-2027
London	 Paris	 09-04-2027
Seoul	 London	 12-04-2027
Paris	 Tokyo	 15-04-2027
Berlin	 Montreal	 18-04-2027
Sydney	 Seoul	 21-04-2027
Rome	 Beijing	 24-04-2027
Beijing	 Madrid	 27-04-2027
Madrid	 Rome	 30-04-2027
Tokyo	 Sydney	 03-05-2027
Montreal	 Berlin	 06-05-2027
London	 Paris	 09-05-2027
Seoul	 Tokyo	 12-05-2027
Paris	 New York	 15-05-2027
Berlin	 Dallas	 18-05-2027
Sydney	 London	 21-05-2027
Rome	 Montreal	 24-05-2027
Beijing	 Seoul	 27-05-2027
Madrid	 Paris	 30-05-2027
Tokyo	 Berlin	 02-06-2027
Montreal	 Sydney	 05-06-2027
London	 Rome	 08-06-2027
Seoul	 Beijing	 11-06-2027
Paris	 Madrid	 14-06-2027
Berlin	 Tokyo	 17-06-2027
Sydney	 Montreal	 20-06-2027
Rome	 London	 23-06-2027
Beijing	 Seoul	 26-06-2027
Madrid	 Paris	 29-06-2027
Tokyo	 New York	 02-07-2027
Montreal	 Dallas	 05-07-2027
London	 New York	 08-07-2027
Seoul	 San Francisco	 11-07-2027
Paris	 Chicago	 14-07-2027
Berlin	 Los Angeles	 17-07-2027
Sydney	 Dubai	 20-07-2027
Rome	 Miami	 23-07-2027
Beijing	 Toronto	 26-07-2027
Madrid	 Houston	 29-07-2027
Tokyo	 London	 01-08-2027
Montreal	 Paris	 04-08-2027
London	 Tokyo	 07-08-2027
Seoul	 Berlin	 10-08-2027
Paris	 Sydney	 13-08-2027
